player_id,player_name,feature_season,outcome_season,position,team,outcome_games_played,outcome_total_ppr,outcome_ppg,outcome_spike_week_rate,outcome_dud_week_rate,outcome_total_targets,outcome_targets_per_game,outcome_total_receptions,outcome_receptions_per_game,outcome_total_receiving_yards,outcome_receiving_yards_per_game,outcome_total_receiving_tds,outcome_receiving_tds_per_game
00-0028237,C.Hogan,2020,2021,WR,NO,5,14.1,2.82,0,0.8,8,1.6,4,0.8,41,8.2,1,0.2
00-0028411,D.Inman,2019,2020,WR,WAS,7,46.3,6.6143,0,0.5714,28,4,18,2.5714,163,23.2857,2,0.2857
00-0029000,C.Beasley,2019,2020,WR,BUF,15,207.5,13.8333,0.2,0.1333,107,7.1333,82,5.4667,967,64.4667,4,0.2667
00-0029000,C.Beasley,2020,2021,WR,BUF,16,159.3,9.9562,0.1875,0.25,112,7,82,5.125,693,43.3125,1,0.0625
00-0029000,C.Beasley,2021,2022,WR,TB,4,9.5,2.375,0,1,7,1.75,6,1.5,35,8.75,0,0
00-0029137,A.Jeffery,2019,2020,WR,PHI,7,23.5,3.3571,0,0.7143,13,1.8571,6,0.8571,115,16.4286,1,0.1429
00-0029269,T.Benjamin,2020,2021,WR,SF,3,0,0,0,1,5,1.6667,0,0,0,0,0,0
00-0029293,M.Jones,2019,2020,WR,DET,16,227.8,14.2375,0.25,0.1875,115,7.1875,76,4.75,978,61.125,9,0.5625
00-0029293,M.Jones,2020,2021,WR,JAX,17,180.2,10.6,0.1176,0.1765,120,7.0588,73,4.2941,832,48.9412,4,0.2353
00-0029293,M.Jones,2021,2022,WR,JAX,16,116.9,7.3063,0,0.4375,81,5.0625,46,2.875,529,33.0625,3,0.1875
00-0029293,M.Jones,2022,2023,WR,DET,4,6.5,1.625,0,1,10,2.5,5,1.25,35,8.75,0,0
00-0029608,T.Hilton,2019,2020,WR,IND,15,164.2,10.9467,0.1333,0.1333,93,6.2,56,3.7333,762,50.8,5,0.3333
00-0029608,T.Hilton,2020,2021,WR,IND,10,74.1,7.41,0,0.5,37,3.7,23,2.3,331,33.1,3,0.3
00-0029608,T.Hilton,2021,2022,WR,DAL,3,19.1,6.3667,0,0.3333,10,3.3333,7,2.3333,121,40.3333,0,0
00-0029632,M.Sanu,2019,2020,WR,SF,7,44,6.2857,0,0.4286,24,3.4286,17,2.4286,187,26.7143,1,0.1429
00-0029632,M.Sanu,2020,2021,WR,SF,8,32.7,4.0875,0,0.625,24,3,15,1.875,177,22.125,0,0
00-0029664,J.Gordon,2020,2021,WR,KC,9,14.2,1.5778,0,0.8889,14,1.5556,5,0.5556,32,3.5556,1,0.1111
00-0029664,J.Gordon,2021,2022,WR,TEN,1,0,0,0,1,1,1,0,0,0,0,0,0
00-0030035,A.Thielen,2019,2020,WR,MIN,15,254,16.9333,0.4667,0,108,7.2,74,4.9333,925,61.6667,14,0.9333
00-0030035,A.Thielen,2020,2021,WR,MIN,13,199.8,15.3692,0.3077,0.0769,95,7.3077,67,5.1538,726,55.8462,10,0.7692
00-0030035,A.Thielen,2021,2022,WR,MIN,17,180,10.5882,0.0588,0.2353,107,6.2941,70,4.1176,716,42.1176,6,0.3529
00-0030035,A.Thielen,2022,2023,WR,CAR,17,231,13.5882,0.2353,0.1765,137,8.0588,103,6.0588,1014,59.6471,4,0.2353
00-0030035,A.Thielen,2023,2024,WR,CAR,10,139.5,13.95,0.2,0.1,62,6.2,48,4.8,615,61.5,5,0.5
00-0030068,M.Goodwin,2020,2021,WR,CHI,14,57.2,4.0857,0.0714,0.7143,40,2.8571,20,1.4286,313,22.3571,1,0.0714
00-0030068,M.Goodwin,2021,2022,WR,SEA,12,90.2,7.5167,0.1667,0.5,42,3.5,27,2.25,387,32.25,4,0.3333
00-0030068,M.Goodwin,2022,2023,WR,CLE,10,14,1.4,0,0.9,13,1.3,4,0.4,67,6.7,0,0
00-0030085,K.Stills,2019,2020,WR,HOU,7,31.4,4.4857,0,0.5714,19,2.7143,11,1.5714,144,20.5714,1,0.1429
00-0030085,K.Stills,2020,2021,WR,NO,7,18.9,2.7,0,0.8571,23,3.2857,6,0.8571,68,9.7143,1,0.1429
00-0030279,K.Allen,2019,2020,WR,LAC,14,245.1,17.5071,0.4286,0.0714,147,10.5,100,7.1429,992,70.8571,8,0.5714
