player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0037238,D.London,ATL,2022,17,WR,9.7,8,5,47.0,0,,,,,
00-0035640,D.Metcalf,SEA,2022,17,WR,1.3,5,1,3.0,0,,,,,
00-0036255,D.Mims,NYJ,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0034827,D.Moore,CAR,2022,17,WR,23.700000000000003,10,6,117.0,1,,,,,
00-0036233,D.Peoples-Jones,CLE,2022,17,WR,8.3,3,1,13.0,1,,,,,
00-0034860,D.Pettis,CHI,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0032775,D.Robinson,BAL,2022,17,WR,1.9,3,1,9.0,0,,,,,
00-0035535,D.Slayton,NYG,2022,17,WR,1.4000000000000001,3,2,14.0,0,,,,,
00-0036912,D.Smith,PHI,2022,17,WR,20.5,13,9,115.0,0,,,,,
00-0036980,E.Moore,NYJ,2022,17,WR,3.8,2,2,18.0,0,,,,,
00-0034279,E.St. Brown,CHI,2022,17,WR,4.0,3,2,20.0,0,,,,,
00-0035500,G.Dortch,ARI,2022,17,WR,5.5,10,4,15.0,0,,,,,
00-0035645,G.Olszewski,PIT,2022,17,WR,0.6000000000000001,0,0,0.0,0,,,,,
00-0037247,G.Pickens,PIT,2022,17,WR,4.9,4,2,29.0,0,,,,,
00-0037740,G.Wilson,NYJ,2022,17,WR,4.8,11,3,18.0,0,,,,,
00-0034983,H.Renfrow,LV,2022,17,WR,4.9,4,3,19.0,0,,,,,
00-0036165,I.Hodgins,NYG,2022,17,WR,14.2,5,4,42.0,1,,,,,
00-0033572,J.Agnew,JAX,2022,17,WR,0.8,1,1,4.0,0,,,,,
00-0037741,J.Dotson,WAS,2022,17,WR,6.7,7,3,37.0,0,,,,,
00-0036322,J.Jefferson,MIN,2022,17,WR,2.5,5,1,15.0,0,,,,,
00-0036259,J.Jennings,SF,2022,17,WR,6.6000000000000005,3,2,46.0,0,,,,,
00-0036407,J.Jeudy,DEN,2022,17,WR,10.8,8,7,38.0,0,,,,,
00-0027944,J.Jones,TB,2022,17,WR,3.3000000000000003,2,1,10.0,0,,,,,
00-0034960,J.Meyers,NE,2022,17,WR,16.9,9,6,49.0,1,,,,,
00-0037291,J.Nailor,MIN,2022,17,WR,17.9,3,3,89.0,1,,,,,
00-0036988,J.Palmer,LAC,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0033943,J.Reynolds,DET,2022,17,WR,1.5,1,1,5.0,0,,,,,
00-0033857,J.Smith-Schuster,KC,2022,17,WR,4.1,3,2,21.0,0,,,,,
00-0036613,J.Waddle,MIA,2022,17,WR,8.2,5,3,52.0,0,,,,,
00-0034386,J.Watson,KC,2022,17,WR,3.7,2,1,27.0,0,,,,,
00-0037240,J.Williams,DET,2022,17,WR,4.0,3,0,0.0,0,,,,,
00-0030279,K.Allen,LAC,2022,17,WR,11.8,6,5,60.0,0,,,,,
00-0033307,K.Bourne,NE,2022,17,WR,2.8,2,1,16.0,0,,,,,
00-0035864,K.Hinton,DEN,2022,17,WR,0.0,2,0,0.0,0,,,,,
00-0034854,K.Hodge,ATL,2022,17,WR,1.5,1,1,5.0,0,,,,,
00-0036345,K.Osborn,MIN,2022,17,WR,18.9,7,7,59.0,1,,,,,
00-0032464,K.Raymond,DET,2022,17,WR,7.4,3,3,40.0,0,,,,,
00-0036913,K.Toney,KC,2022,17,WR,11.100000000000001,4,4,71.0,0,,,,,
00-0037055,L.McCutcheon,LA,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0036268,L.Shenault,CAR,2022,17,WR,4.0,3,2,13.0,0,,,,,
00-0032951,L.Treadwell,SEA,2022,17,WR,3.5,2,2,15.0,0,,,,,
00-0035662,M.Brown,ARI,2022,17,WR,12.100000000000001,9,6,61.0,0,,,,,
00-0031408,M.Evans,TB,2022,17,WR,48.7,12,10,207.0,3,,,,,
00-0034764,M.Gallup,DAL,2022,17,WR,6.9,4,3,39.0,0,,,,,
00-0033555,M.Hollins,LV,2022,17,WR,7.0,4,3,40.0,0,,,,,
00-0029293,M.Jones,JAX,2022,17,WR,12.100000000000001,7,6,61.0,0,,,,,
00-0036252,M.Pittman,IND,2022,17,WR,16.1,8,6,41.0,1,,,,,
00-0036482,M.Strachan,IND,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0034272,M.Valdes-Scantling,KC,2022,17,WR,4.800000000000001,7,2,28.0,0,,,,,
00-0033536,M.Williams,LAC,2022,17,WR,16.4,10,7,94.0,0,,,,,
00-0031549,N.Agholor,NE,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0033591,N.Brown,DAL,2022,17,WR,1.7000000000000002,4,1,7.0,0,,,,,
00-0035624,N.Harry,CHI,2022,17,WR,2.6,1,1,16.0,0,,,,,
00-0036182,N.Westbrook-Ikhine,TEN,2022,17,WR,1.4,3,1,4.0,0,,,,,
00-0035639,P.Campbell,IND,2022,17,WR,8.3,6,3,52.0,0,,,,,
00-0033111,P.Cooper,ARI,2022,17,WR,0.8,0,0,0.0,0,,,,,
00-0032208,P.Dorsett,HOU,2022,17,WR,4.4,6,3,14.0,0,,,,,
00-0036271,Q.Watkins,PHI,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0032688,R.Chosen,ARI,2022,17,WR,2.3,1,1,13.0,0,,,,,
00-0028002,R.Cobb,GB,2022,17,WR,4.0,2,2,20.0,0,,,,,
00-0037816,R.Doubs,GB,2022,17,WR,5.0,4,3,20.0,0,,,,,
00-0034411,R.Gage,TB,2022,17,WR,6.300000000000001,3,3,33.0,0,,,,,
00-0034286,R.James,NYG,2022,17,WR,20.6,7,7,76.0,1,,,,,
00-0034407,R.McCloud,SF,2022,17,WR,5.2,2,1,42.0,0,,,,,
00-0036652,R.McMath,TEN,2022,17,WR,4.9,2,1,39.0,0,,,,,
00-0037545,R.Shaheed,NO,2022,17,WR,13.9,6,6,79.0,0,,,,,
00-0030431,R.Woods,TEN,2022,17,WR,14.9,9,5,39.0,1,,,,,
00-0038090,S.Moore,KC,2022,17,WR,6.300000000000001,4,3,33.0,0,,,,,
00-0034928,S.Sims,PIT,2022,17,WR,6.4,4,3,34.0,0,,,,,
00-0036572,S.Smith,CAR,2022,17,WR,17.0,4,4,70.0,1,,,,,
00-0036849,T.Atwell,LA,2022,17,WR,3.0,5,2,10.0,0,,,,,
00-0037742,T.Burks,TEN,2022,17,WR,12.6,8,4,66.0,0,,,,,
00-0033040,T.Hill,MIA,2022,17,WR,15.7,7,4,55.0,0,,,,,
00-0029608,T.Hilton,DAL,2022,17,WR,9.0,5,4,50.0,0,,,,,
00-0032211,T.Lockett,SEA,2022,17,WR,3.5,2,2,15.0,0,,,,,
00-0036955,T.Marshall,CAR,2022,17,WR,3.5,3,2,15.0,0,,,,,
00-0035659,T.McLaurin,WAS,2022,17,WR,5.7,5,2,25.0,0,,,,,
00-0034487,T.Sherfield,MIA,2022,17,WR,5.0,6,2,30.0,0,,,,,
00-0038104,T.Thornton,NE,2022,17,WR,15.0,7,3,60.0,1,,,,,
00-0036415,V.Jefferson,LA,2022,17,WR,10.7,3,3,77.0,0,,,,,
00-0037745,V.Jones,CHI,2022,17,WR,1.3,1,0,0.0,0,,,,,
00-0033891,Z.Jones,JAX,2022,17,WR,5.4,5,3,24.0,0,,,,,
00-0035876,A.Baccellia,ARI,2022,18,WR,1.6,1,1,6.0,0,,,,,
00-0035676,A.Brown,PHI,2022,18,WR,13.5,10,4,95.0,0,,,,,
00-0031544,A.Cooper,CLE,2022,18,WR,7.1000000000000005,3,2,51.0,0,,,,,
00-0027942,A.Green,ARI,2022,18,WR,18.1,5,3,91.0,1,,,,,
00-0034521,A.Lazard,GB,2022,18,WR,14.100000000000001,6,4,41.0,1,,,,,
00-0037664,A.Pierce,IND,2022,18,WR,7.2,4,3,42.0,0,,,,,
00-0036991,A.Rodgers,HOU,2022,18,WR,5.2,4,3,22.0,0,,,,,
00-0036963,A.St. Brown,DET,2022,18,WR,10.9,9,6,49.0,0,,,,,
